DEPTH,RHOB,DT,GR,AI,AI_REL,PHIE,MD,VP
98.85,,521.5461,16.8191,3838587.0,8042.1709,,98.85,15888901.9365
99.0,,521.5387,17.155,3838641.75,8042.1709,,99.0,15888676.495499998
99.15,,521.5312,17.155,3838696.75,8042.1709,,99.15,15888448.008000001
99.3,,521.5237,15.8218,3838751.75,8042.1709,,99.3,15888219.520499999
99.45,,521.5164,14.3594,3838805.75,8042.1709,,99.45,15887997.126
99.6,,521.509,13.9262,3838860.25,8042.1709,,99.6,15887771.685
99.75,,521.5018,13.9262,3838913.25,8042.1709,,99.75,15887552.337
99.9,,521.4945,14.9644,3838967.0,8042.1709,,99.9,15887329.9425
100.05,,521.487,15.8572,3839021.75,8042.1709,,100.05,15887101.454999998
100.2,,521.4796,16.12,3839076.25,8042.1709,,100.2,15886876.014
100.35,,521.4722,16.2987,3839131.0,8042.1709,,100.35,15886650.573
